model,Epoch,Framework,Framework_mean,Framework_std,Value,std
ResNet-18,2,PyTorch,PyTorch (mean),PyTorch (std),0.68574,0.0014437451298619272
ResNet-18,3,PyTorch,PyTorch (mean),PyTorch (std),0.72974,0.001925720644330338
ResNet-18,4,PyTorch,PyTorch (mean),PyTorch (std),0.75686,0.0007644605941446657
ResNet-18,5,PyTorch,PyTorch (mean),PyTorch (std),0.77575,0.0013109157104863709
ResNet-18,6,PyTorch,PyTorch (mean),PyTorch (std),0.78994,0.00145753216088016
ResNet-18,7,PyTorch,PyTorch (mean),PyTorch (std),0.8017299999999998,0.0011645170672858337
ResNet-18,8,PyTorch,PyTorch (mean),PyTorch (std),0.81695,0.0013588598161694298
ResNet-18,9,PyTorch,PyTorch (mean),PyTorch (std),0.82027,0.0011798728745080953
ResNet-18,10,PyTorch,PyTorch (mean),PyTorch (std),0.8217000000000001,0.001854723699099146
ResNet-18,11,PyTorch,PyTorch (mean),PyTorch (std),0.82424,0.0010219589032832953
ResNet-18,12,PyTorch,PyTorch (mean),PyTorch (std),0.8250399999999999,0.0007605261336732573
ResNet-18,13,PyTorch,PyTorch (mean),PyTorch (std),0.8261199999999999,0.00169634902069118
ResNet-18,14,PyTorch,PyTorch (mean),PyTorch (std),0.82775,0.001038508545944614
ResNet-18,15,PyTorch,PyTorch (mean),PyTorch (std),0.82912,0.0015580757362850057
ResNet-18,16,PyTorch,PyTorch (mean),PyTorch (std),0.8299899999999999,0.0012910848151844979
ResNet-18,17,PyTorch,PyTorch (mean),PyTorch (std),0.8302400000000001,0.0009112628599915482
